instance,source,n_vars,n_cons,solver,obj_nominal,solve_time,converged,S,feasibility_rate,infeasibility_rate,mean_obj,std_obj,mean_violation,max_violation,n_test
sctest,NETLIB,6,5,FuzzyPD-LP,0.0,1.9628235049312934,True,BS(γ=5.0)+AdvSAA(100)+Combo,0.0,1.0,0.0,0.0,2.9991235560919813,3.2037451816068336,400
sctest,NETLIB,6,5,TSAR-BS-only,0.0,0.5270660939859226,True,BS-only(γ=5.0),0.0,1.0,0.0,0.0,2.9991235560919813,3.2037451816068336,400
sctest,NETLIB,6,5,TSAR-Adv-only,0.0,0.8383950090501457,True,AdvSAA-only(S=100),0.0,1.0,0.0,0.0,2.9991235560919813,3.2037451816068336,400
sctest,NETLIB,6,5,TSAR-No-calib,0.0,0.023509865044616163,True,No-calibration(fixed γ=2.0),0.0,1.0,0.0,0.0,2.9991235560919813,3.2037451816068336,400
rgn,MIPLIB,180,4,Nominal-LP,0.0,0.42113852594047785,True,deterministic (mean only),1.0,0.0,0.0,0.0,0.0,0.0,400
rgn,MIPLIB,180,4,HiGHS-SAA,-3.0966099109864873e-09,0.992765725008212,True,100,0.9525,0.04749999999999999,3.9849781341892564e-10,6.5426618467098444e-09,0.0009605176301062096,0.06055478440140072,400
rgn,MIPLIB,180,4,OR-Tools GLOP-SAA,0.0,3.285077563021332,True,100,1.0,0.0,0.0,0.0,0.0,0.0,400
rgn,MIPLIB,180,4,OR-Tools PDLP-SAA,0.0,5.095209790044464,True,100,1.0,0.0,0.0,0.0,0.0,0.0,400
rgn,MIPLIB,180,4,Bertsimas-Sim(γ=3.0),0.0,0.03207095596008003,True,parametric robust (γ=3.0),1.0,0.0,0.0,0.0,0.0,0.0,400
rgn,MIPLIB,180,4,CVaR-LP(α=0.95),0.0,0.9162093029590324,True,100,0.82,0.18000000000000005,1.3218182562500673e-10,4.3239499112208466e-09,0.002588331072625809,0.0486749678770414,400
rgn,MIPLIB,180,4,FuzzyPD-LP,0.0,16.633867347962223,True,BS(γ=5.0)+AdvSAA(100)+Combo,1.0,0.0,0.0,0.0,0.0,0.0,400
rgn,MIPLIB,180,4,TSAR-BS-only,0.0,3.4197084580082446,True,BS-only(γ=5.0),1.0,0.0,0.0,0.0,0.0,0.0,400
rgn,MIPLIB,180,4,TSAR-Adv-only,0.0,5.7488895079586655,True,AdvSAA-only(S=100),1.0,0.0,-5.174374241312246e-10,6.324863019955345e-09,0.0,0.0,400
rgn,MIPLIB,180,4,TSAR-No-calib,0.0,0.0635925680398941,True,No-calibration(fixed γ=2.0),1.0,0.0,0.0,0.0,0.0,0.0,400
galenet,NETLIB,8,6,Nominal-LP,0.0,0.026254619006067514,True,deterministic (mean only),0.1425,0.8575,4.4740415009224785e-09,1.4582734650175644e-07,1.4762936906527486,7.323144863872326,400
galenet,NETLIB,8,6,HiGHS-SAA,-1.9200398087596466e-08,0.7670140489935875,True,100,0.965,0.03500000000000003,3.728646342700864e-09,1.8894220525491388e-07,0.009213483073696177,1.130049074370163,400
galenet,NETLIB,8,6,OR-Tools GLOP-SAA,-0.8587989648825013,2.3870253659551963,True,100,0.96,0.040000000000000036,-0.32423948803707153,8.51194393618074,0.07404051369918861,6.61112403268406,400
galenet,NETLIB,8,6,OR-Tools PDLP-SAA,nan,120.16794273699634,False,100,0.0,1.0,0.0,0.0,29.940497482183073,33.53426586268218,400
galenet,NETLIB,8,6,Bertsimas-Sim(γ=3.0),1.0094225735273922e-06,0.4790177019312978,True,parametric robust (γ=3.0),1.0,0.0,7.169331584255705e-09,1.8971199467037412e-07,0.0,0.0,400
galenet,NETLIB,8,6,CVaR-LP(α=0.95),0.0,0.5642701670294628,True,100,0.955,0.04500000000000004,3.766421836641509e-09,1.8793206631404993e-07,0.02394400309947585,1.6952020395894252,400
galenet,NETLIB,8,6,FuzzyPD-LP,0.0,3.149600849021226,True,BS(γ=5.0)+AdvSAA(100)+Combo,1.0,0.0,9.565665267412105e-09,2.4294613959743056e-07,0.0,0.0,400
galenet,NETLIB,8,6,TSAR-BS-only,0.0,1.2299619000405073,True,BS-only(γ=5.0),1.0,0.0,9.565665267412105e-09,2.4294613959743056e-07,0.0,0.0,400
galenet,NETLIB,8,6,TSAR-Adv-only,0.0,0.7919335720362142,True,AdvSAA-only(S=100),1.0,0.0,6.654339112067924e-09,1.7858518934191708e-07,0.0,0.0,400
galenet,NETLIB,8,6,TSAR-No-calib,0.0,0.02948244195431471,True,No-calibration(fixed γ=2.0),0.9975,0.0024999999999999467,6.246741009147124e-09,1.6893280540278913e-07,0.0004782932675571949,0.19131730702287797,400
forest6,NETLIB,95,36,Nominal-LP,122266.386,0.05508853809442371,True,deterministic (mean only),0.0,1.0,122276.40376377496,2387.278551753027,102.44869536721255,282.68419940871024,400
forest6,NETLIB,95,36,HiGHS-SAA,139521.80542797342,1.8972012710291892,True,100,0.6625,0.3375,139515.93461603415,2222.643842588887,3.093948434978872,76.11408471826871,400
forest6,NETLIB,95,36,OR-Tools GLOP-SAA,139521.8052535429,20.114770208951086,True,100,0.6225,0.37749999999999995,139515.93444474216,2222.6439224689398,3.0939498506719922,76.11409960732249,400
forest6,NETLIB,95,36,OR-Tools PDLP-SAA,139521.80061298382,22.85120705200825,True,100,0.0,1.0,139515.9297817634,2222.6438543677496,3.0939964220777267,76.11408440778268,400
forest6,NETLIB,95,36,Bertsimas-Sim(γ=3.0),177764.5716437963,0.5816069130087271,True,parametric robust (γ=3.0),1.0,0.0,159829.37532144424,2491.9535291361212,0.0,0.0,400
forest6,NETLIB,95,36,CVaR-LP(α=0.95),139561.59798275869,1.7232772629940882,True,100,0.6575,0.3425,139559.63767398294,1895.3296021387034,2.4301999470887226,76.11408665806516,400
forest6,NETLIB,95,36,FuzzyPD-LP,191669.54901647722,45.085983973927796,True,BS(γ=5.0)+AdvSAA(100)+Combo,1.0,0.0,191603.8516901465,3018.238609177568,0.0,0.0,400
forest6,NETLIB,95,36,TSAR-BS-only,191669.54901647722,5.804634467000142,True,BS-only(γ=5.0),1.0,0.0,191603.8516901465,3018.238609177568,0.0,0.0,400
forest6,NETLIB,95,36,TSAR-Adv-only,152436.77150173282,23.856689980020747,True,AdvSAA-only(S=100),1.0,0.0,152387.02216707572,2367.9197846660177,0.0,0.0,400
forest6,NETLIB,95,36,TSAR-No-calib,146192.06266018128,1.312775026075542,True,No-calibration(fixed γ=2.0),0.995,0.0050000000000000044,146144.63609780176,2267.3848625707637,0.04479215013950352,14.669936308472643,400
klein1,NETLIB,54,54,Nominal-LP,nan,0.17597153095994145,False,deterministic (mean only),0.0,1.0,0.0,0.0,48.08351777472154,54.24153764502881,400
klein1,NETLIB,54,54,HiGHS-SAA,nan,6.659218169050291,False,100,0.0,1.0,0.0,0.0,48.08351777472154,54.24153764502881,400
